name,url,description,found_by
jwynia/learning-rust,https://github.com/jwynia/learning-rust,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
JRichens/jbpearceapp,https://github.com/JRichens/jbpearceapp,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
eighteyes/dev-prompts,https://github.com/eighteyes/dev-prompts,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ikmnjrd/ikmnjrd.github.io,https://github.com/ikmnjrd/ikmnjrd.github.io,"personal blog, created  by Next.js","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
marpiech/clinerules-examples,https://github.com/marpiech/clinerules-examples,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
poorlyordered/HomeSchool,https://github.com/poorlyordered/HomeSchool,Homeschool Transcript Management,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
poorlyordered/gryyk-47,https://github.com/poorlyordered/gryyk-47,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
freebeiro/project-x,https://github.com/freebeiro/project-x,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
jtalborough/rools,https://github.com/jtalborough/rools,🦘 Rools - Manage and deploy custom rule sets for roo code,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
xuziqiang98/IIVD,https://github.com/xuziqiang98/IIVD,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Ganso/The-Weave,https://github.com/Ganso/The-Weave,The Weave,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ESPresense/ESPresense,https://github.com/ESPresense/ESPresense,An ESP32 based node for gathering indoor positioning and transmitting to mqtt,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
tsuyoshi-otake/otak-nand,https://github.com/tsuyoshi-otake/otak-nand,NAND Game.,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
koepalex/Crow-s-Nest-MQTT,https://github.com/koepalex/Crow-s-Nest-MQTT,"Whether you're a seasoned developer or a newcomer to IoT, Crow’s NestMQTT provides robust tools for subscribing to topics and inspecting payloads in real time.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
tsuyoshi-otake/otak-pomodoro,https://github.com/tsuyoshi-otake/otak-pomodoro,"A minimalist Pomodoro Timer for VS Code - Enhance your productivity with customizable work/break cycles, status bar integration, and sound notifications.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
MCP-Mirror/negokaz_excel-mcp-server,https://github.com/MCP-Mirror/negokaz_excel-mcp-server,Mirror of https://github.com/negokaz/excel-mcp-server,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
teeppp/chat_reflection_loop,https://github.com/teeppp/chat_reflection_loop,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
shivam2014/trading-journal,https://github.com/shivam2014/trading-journal,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Phuongp2003/ShopMyPham_EJB,https://github.com/Phuongp2003/ShopMyPham_EJB,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
cgint/third-eye,https://github.com/cgint/third-eye,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ryomeblog/auto-battle-game,https://github.com/ryomeblog/auto-battle-game,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
bencan1a/space_hulk_game,https://github.com/bencan1a/space_hulk_game,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
RPG-fan/Cline-Recursive-Chain-of-Thought-System-CRCT-,https://github.com/RPG-fan/Cline-Recursive-Chain-of-Thought-System-CRCT-,"A framework designed to manage context, dependencies, and tasks in large-scale Cline projects within VS Code","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
shipdocs/smart-memory-mcp-v2,https://github.com/shipdocs/smart-memory-mcp-v2,Smart Memory MCP v2 - Model Context Protocol implementation with memory management capabilities,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Meh-S-Eze/ynab-mcp,https://github.com/Meh-S-Eze/ynab-mcp,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
d-oit/pwaSpeedTapGame,https://github.com/d-oit/pwaSpeedTapGame,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
uhyo/better-typescript-lib,https://github.com/uhyo/better-typescript-lib,Better TypeScript standard library,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
mizchi/ailab,https://github.com/mizchi/ailab,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
kargnas/laravel-ai-translator,https://github.com/kargnas/laravel-ai-translator,"High quality automatic translate your language files into many languages using AI like Claude, GPT and etc.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ESPresense/ESPresense-companion,https://github.com/ESPresense/ESPresense-companion,HA Add-on / Docker container that solves indoor positions with mqtt data received from multiple ESPresense nodes,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
jacksteamdev/obsidian-mcp-tools,https://github.com/jacksteamdev/obsidian-mcp-tools,Add Obsidian integrations like semantic search and custom Templater prompts to Claude or any MCP client.,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
rauversion/rauversion,https://github.com/rauversion/rauversion,Open source Music Multiverses,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
upperstream/packer-templates,https://github.com/upperstream/packer-templates,Packer templates to generate Vagrant boxes,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
entrepeneur4lyf/engineered-meta-cognitive-workflow-architecture,https://github.com/entrepeneur4lyf/engineered-meta-cognitive-workflow-architecture,Meta-Cognitive Workflow Architecture,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
buger/probe,https://github.com/buger/probe,"Probe is an AI-friendly, fully local, semantic code search engine which which works with for large codebases. The final missing building block for next generation of AI coding tools.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
JarrydGordon/To-Do-list-app,https://github.com/JarrydGordon/To-Do-list-app,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Tiberriver256/mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops,An MCP server for Azure DevOps,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
one-ie/one,https://github.com/one-ie/one,"Build AI powered websites with Astro, Shadcn and Vercel AI SDK","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
agenticsorg/edge-agents,https://github.com/agenticsorg/edge-agents,serverless agents,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
