name,url,description,found_by
AIDC-AI/ComfyUI-Copilot,https://github.com/AIDC-AI/ComfyUI-Copilot,An AI-powered custom node for ComfyUI designed to enhance workflow automation and provide intelligent assistance,cursor_config: filename:.cursorignore
ethyca/fides,https://github.com/ethyca/fides,The Privacy Engineering & Compliance Framework,cursor_config: filename:.cursorignore
Steemhunt/mint.club-v2-contract,https://github.com/Steemhunt/mint.club-v2-contract,,cursor_config: filename:.cursorignore
Vagabonds-Labs/cofiblocks,https://github.com/Vagabonds-Labs/cofiblocks,"Welcome to Cofiblocks marketplace: A Starknet web3 platform to innovate Costa Rica coffee industry. Cofiblocks connects small coffee farmers directly with coffee lovers, cutting out unnecessary intermediaries.",cursor_config: filename:.cursorignore
imchatkit/im-ai-server,https://github.com/imchatkit/im-ai-server,IM-AI-Server 是基于Java开发的企业级IM即时通讯系统，深度整合DeepSeek智能对话模型，具备完整的IM通信能力和AI交互功能。支持iOS、Android、Web等多端SDK快速接入，提供开箱即用的二次开发接口，满足企业高效集成与定制化需求。,cursor_config: filename:.cursorignore
lxxorz/ai-rules,https://github.com/lxxorz/ai-rules,,cursor_config: filename:.cursorignore
hiimjayson/nomad,https://github.com/hiimjayson/nomad,"작업하기 좋은카페 ☕️ 모음 앱, Nomad 모노레포",cursor_config: filename:.cursorignore
him0/ai-rule-forge,https://github.com/him0/ai-rule-forge,,cursor_config: filename:.cursorignore
propstreet/reviewer,https://github.com/propstreet/reviewer,Automatically provides PR review for commits through Github Actions,cursor_config: filename:.cursorignore
raainio/raain-model,https://github.com/raainio/raain-model,raain model used in api,cursor_config: filename:.cursorignore
primodiumxyz/empires,https://github.com/primodiumxyz/empires,"A fully onchain, turn-based, prediction market game, built with MUD & Phaser.",cursor_config: filename:.cursorignore
triopter/line-breaking-algorithms,https://github.com/triopter/line-breaking-algorithms,Investigation of line-breaking algorithms demonstrated at https://xxyxyz.org/line-breaking/,cursor_config: filename:.cursorignore
Rh-YE/astre-fits,https://github.com/Rh-YE/astre-fits,,cursor_config: filename:.cursorignore
patrickdwyer33/patrickdwyer.com,https://github.com/patrickdwyer33/patrickdwyer.com,This is a responsive CV website built from scratch using no pre-built libraries and industry best practices. It is written in semantic HTML and SCSS.,cursor_config: filename:.cursorignore
kdgs-develop/kdgs-admin-dashboard,https://github.com/kdgs-develop/kdgs-admin-dashboard,Next.js 14 Admin Dashboard for Kelowna and District Genealogical Society Built with the Next.js App Router,cursor_config: filename:.cursorignore
AgusPk/carton-tracker,https://github.com/AgusPk/carton-tracker,,cursor_config: filename:.cursorignore
RLAlpha49/AniSearch-Model,https://github.com/RLAlpha49/AniSearch-Model,"AniSearchModel leverages Sentence-BERT (SBERT) models to generate embeddings for synopses, enabling the calculation of semantic similarities between descriptions. This allows users to find the most similar anime or manga based on a given description.",cursor_config: filename:.cursorignore
dlt-hub/cursor-dlt-example,https://github.com/dlt-hub/cursor-dlt-example,adrian experiments,cursor_config: filename:.cursorignore
angelstreet/automai,https://github.com/angelstreet/automai,Awesomation SaaS platform,cursor_config: filename:.cursorignore
women-in-ai-research/women-in-ai-research.github.io,https://github.com/women-in-ai-research/women-in-ai-research.github.io,,cursor_config: filename:.cursorignore
spicanet/SpicaCMS,https://github.com/spicanet/SpicaCMS,,cursor_config: filename:.cursorignore
SnakeTuan/gemini-examples,https://github.com/SnakeTuan/gemini-examples,,cursor_config: filename:.cursorignore
johnsonfamily1234/ice-cream-lab,https://github.com/johnsonfamily1234/ice-cream-lab,,cursor_config: filename:.cursorignore
yoavain/calendar-puzzle,https://github.com/yoavain/calendar-puzzle,Testing Cursor building a game,cursor_config: filename:.cursorignore
