name,url,description,found_by
brianchu/MusicAgent,https://github.com/brianchu/MusicAgent,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
mateusztylec/project-template,https://github.com/mateusztylec/project-template,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
christopher-dabrowski/AI_devs3-Zadania,https://github.com/christopher-dabrowski/AI_devs3-Zadania,Moje rozwiązania do zadań z kursu AI_devs3,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
drejrnal/tiny-db,https://github.com/drejrnal/tiny-db,数据库系统,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
datntdev0/codebase-microservices,https://github.com/datntdev0/codebase-microservices,This repository contains the boilerplate for a microservices-based system. It includes multiple backend services built with ASP.NET Core and an Angular frontend for the administration page.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
murilo-cunha/microblog,https://github.com/murilo-cunha/microblog,My microblog,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
mytreehouse-ai/cygnus-a,https://github.com/mytreehouse-ai/cygnus-a,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
1742020289/form-designer,https://github.com/1742020289/form-designer,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
john-automates/st_con_crew_ai,https://github.com/john-automates/st_con_crew_ai,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
tkloetzk/mealplanner,https://github.com/tkloetzk/mealplanner,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
zecrocks/hosh,https://github.com/zecrocks/hosh,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
t-proctor/longevity_jobs,https://github.com/t-proctor/longevity_jobs,A job board for opportunities in longevity,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
jdvg2002/electron-demo-2,https://github.com/jdvg2002/electron-demo-2,:electron: Electron Forge with shadcn-ui (Vite + Typescript),"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
bigpixelrocket/laravel-omakase,https://github.com/bigpixelrocket/laravel-omakase,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
giladbarnea/to,https://github.com/giladbarnea/to,"A simple CLI tool to convert and diff between JSON, YAML, TOML, JSON5 and Python collections.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
canburaks/pixly-app,https://github.com/canburaks/pixly-app,It is a  Django/Graphene based movie recommendation engine that compares a person's rating of a movie with that of 40.000 others within a minute and calculates a score based on the comparison.  ,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Dnshbbu/PythonBackendForMT5,https://github.com/Dnshbbu/PythonBackendForMT5,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
3mdistal/meal-planner,https://github.com/3mdistal/meal-planner,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
yukinakai/book-clip-app,https://github.com/yukinakai/book-clip-app,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
caplight-tech/be-interview,https://github.com/caplight-tech/be-interview,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
ThoseGrapefruits/pong-racket,https://github.com/ThoseGrapefruits/pong-racket,"3d pong, in racket","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
ctrlShiftBryan/.zsh,https://github.com/ctrlShiftBryan/.zsh,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
jknohr/Fazwaz,https://github.com/jknohr/Fazwaz,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
D-lyw/rust-demos,https://github.com/D-lyw/rust-demos,some code demos about rust,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
GenerativeAgents/middleman-sdk,https://github.com/GenerativeAgents/middleman-sdk,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
RLAlpha49/AniSearch-Model,https://github.com/RLAlpha49/AniSearch-Model,"AniSearchModel leverages Sentence-BERT (SBERT) models to generate embeddings for synopses, enabling the calculation of semantic similarities between descriptions. This allows users to find the most similar anime or manga based on a given description.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
